,result,type
eb09e4d118ce511c6fd2d8585c6c591b9f90916f,N,CR
52649fda4c9643afcc4f8cbf9f8527893fd129ba,Y,CR
32b0f7336b7627bc6e471a1091dfb2712b613eee,N,CR
de001e7bcf9acb761047bdcf40f48244f8b63642,N,CR
7f1d7b7e3332455bab4d83ba16af3134c1210eaf,N,CR
2a8db688b1031ede4feab1351714144a6ec5e9ff,N,CR
c32b8042d81bcc66151e3b2c03695a9a7bfd33c2,N,CR
183ad3388d0d80bb144ce6cab79e0080d785eee6,N,CR
5fc7e64e552154df09c8f12bbfb4e05a88be390a,N,IC
1a44ba4b6152cdafe636c867fd973e8cd1348078,N,IC
22d13e12320f2d878880eba50a5bcdc48aa63cc3,N,IC
cc73bfb42fa86c01e37a1b7021b1ab41e0f0cb63,N,IC
5a5d8eee65f23a9978ff035cd32e2ce8c98dcadb,N,IC
dca7fe58eeea3085cdf5b46e2a07aa44d2c77375,N,IC
ec198897ee8e726094dcb15c08d9f7da6920f8bd,N,IC
1220f2f7ba6f75a6bed01f7a66bbda9c3b3646c6,N,IC
f215f96be00a699552b00baa563fb919be8637b4,N,IC
00f38adf9792290a82c60ac13439e5b9f673beea,N,IC
c1a2c4081cf942cfffefc86f1aefe5b0f676125b,N,CR
72779b230040d8dcc0c39d9791fc6c9d8fd2d142,N,CR
3e2570e1176aa125730efd58e6a2e543f5bacb7c,N,CR
9dffcfd3bee91d0560bc557bea5951ac228d19a1,N,CR
22e68e3efe72371fc8d47797715d78c750c80964,N,CR
81961ba841a953952272891224d581d7a1d6bfaa,N,CR
6e40b488fd09b4aaec33c3add6df90b740dac77d,N,CR
833111b2e81ae248f6ba38553a0dd7568d438439,N,CR
de12e28789bd8bc2e213530150cdec6fa41410ef,N,CR
1744e2803f1600761afb2ea8a91a7fd12f7fbc94,N,BI
afff37e03b91c9a4e02c284646a7629b4f9d45a9,N,BI
