,result,type
c1df71b2835379745165ff1b698e01a189a1d838,N,IC
b95cfeb3577247f0b37aaf5e00c515b5e037d53a,N,IC
779c87c50cf16ac11b5741936f443c2ce5b02909,N,IC
968da93173b68f71068fe6a7c318f3c1b22080b4,N,IC
24915c93a17500738e3c42c5fab96a4adb670fdf,N,IC
9f4a1ff4d00569d3b2b9f36e80bbf32d7180bc84,N,IC
f280d512f0d53ee2f9fbb425404ab43289290ef6,N,IC
9829817ec96f7662ab6c9362b36e49e9eca6c561,N,IC
5a0b2ea7be719d231c1a297811d0f2d18f59bd6f,N,IC
174459a77cfddecd09be7e4aede788c0ecebfafe,N,IC
a55cc876ddba7d9a89317cadbdb0fb71c0006cf1,N,IC
19f72e2d9aa4dcb7e014ef84b37e685a2685c0de,N,IC
a7f9d7a57f1bcd64e0c6b8693b290c10af6086c7,N,IC
36f30a498ad6201adca9bb44b271b09b2e86fa74,N,IC
ffbb50e923e347a79503f8a8527a21f663787775,N,IC
5a857807e5b3549d540582160f4f47d3a3109cd8,N,IC
dac5f2d52af5d9ccfaca9783a70368f7d188ff49,N,IC
77c5f43b546b6fcb908b8aea0e4d81f20aaf62e2,N,IC
d7344907832bf12e5bf474ef090fa451387f876c,N,IC
4c4f81417b6d9e56daa70a3fd65d5c2d185426ab,N,IC
caad5937ae31c056ed637e51114042b2477e52c9,N,IC
1ca2968b48f3668d1f1d47066a463334868c78b6,N,IC
bbc1e611c54e6363e1333faf4cf89e8057593a37,N,IC
44a44c90e75fbe013964cb7fa98f04485637f843,N,IC
c13978b5908b22b2b036e14983e6027d3ecce813,N,IC
cfad451428266e0dd8849d0e8041d0e451823cd6,N,IC
4778e78591d07e7b5d93ffdd30a001f901a7cbba,N,IC
e9fed888629b628677d60b00cbddbcc61699e228,N,IC
44841b1289a63f70ed3cf910d16d378640dd73a6,N,IC
576089b88d2afdd7153cd80f1f1f6ba2513c5bf9,N,IC
c20b3bb4de188cb7da82c8ae1d46aff569b0423c,N,IC
b04996500d980d6cd43ec4dddc864136c8aa893b,N,IC
7d82e5780f7dea95717bb0d3f91ccece03e0ccae,N,IC
13ce5af83a7fa7fe8e649d29105585631b8f4358,N,IC
58225774c96147ac2551009b65e2e7a3c4d88e92,N,IC
7cf309ec6c2fd2b3c3284623c4aa727aa67d6523,N,IC
f2d65c311d67c61d953bd17c079f4169c3dbf8aa,N,IC
c62b1daf2d4fc38b5f1f4ed27090326c17393473,N,IC
22dd690a56844ae54d6be29ca39014136b958566,N,IC
67ffe4f035f8eca92670eba047d20244795e89f1,N,IC
c8d675f75a88bfe613386438b0a45bd5acf1cc97,N,IC
fce4e9f62fc119442f2f3550d760df74cc9501fd,N,IC
887727593573751dd4cca1a3e7275a63e86c2e0a,N,IC
4c3c0202d74c1022ab85c014c47c96f7b13e05b3,N,IC
c43b4c543c42173bd9f25f82606857ca40516702,N,IC
cd7f62c9f785dabc8a77ff77a4975003ed91d807,N,IC
afdea2fa2def490af119009f5ab74aa182a14934,N,IC
1d5cea8ff281dabd5774fccf0b2f575a6216e1a0,N,IC
b8c752ab55d2ed910bbaa1fadfba620dead840fc,N,IC
e71a7a989811fdeab014a354f2bf5675e418fe44,N,IC
245e1a47b9c82744c22ad9a38e130b62e6a40c1d,N,IC
7c9bc5d23bcdf4c56bf18f7e92003547c1fafd13,N,IC
6e72bfbd797e03169ab81866d0b5c13037492be0,N,IC
801fb64963e868ca03e61bb0c67514b0e125d7ef,N,IC
3c8d9404cf4719d7b8db50a1012cf7e0144903f7,N,IC
fdb7550b98c13a842cb371d9bf561c528ec4c7cc,N,IC
38c9c410d4d9afd57c3f909edde9906134928be1,N,IC
880075e84a6cb12315c285beea5cfed09b704f0c,N,IC
3ffed66a08e7b3b9a9c6c4fc5c3dacba1b0a1b84,N,IC
26a5acce20729bb0cf8cd0de75e09665e8148699,N,IC
985f80e5cfaaef1c54e054db1dc50d8bfe4d04a5,N,IC
1eeb03a3fa0e795980a6ed96473df3ad0115902b,N,IC
a88a711bd41f3b11d938f82cdcf44d5fb4462fbb,N,IC
b9f199e1e49505d0ca1c5bca1ce67a45ae0039e2,N,IC
a03abf829561f231bea14a4a35d4aa6908b93f5d,N,IC
23d5ef534c60e79a65eb2e31898c8f1595ce8379,N,IC
435c862b9514bfcf0a036bb2b916ac3dc63b4f4a,N,IC
9def2a08e8312c4a158398f228ccc506e1891b35,N,IC
ac3525d4860c66df7fd882532a647b4707140337,N,IC
5b2754538e712945a5fc85a10fd346b7bd21d8b2,N,IC
5209550e0977a3f8390c16288343fa8ed297e7a8,N,IC
5b16860e716e4f372ee41215e3c0c75a010f4652,N,IC
a5c3dc72fbb5b1c8cbf55e29320d691b86486cc0,N,IC
ca500ec728f59b6a666f0f4ed1493b847f917a51,N,IC
c6f48cac0710457d9374eb24cc82093899bdd7bf,N,IC
b533c411dd61185a1895c83ff51363e586b87309,N,IC
b20b1dff053802dbfb3f6d0bfa54d26bc6ae52db,N,IC
fdc7e7ba69e0d001a728dbb7f60ee8db4d249d30,N,IC
476bc608b592e64db4a80dc23f34ac5c0033aa2c,N,IC
26326d88a2bcac2d071f7558b487e50227ad7713,N,IC
03260e5482701526605de5edaab885ce13196ef7,N,IC
c1b838f4cc939601eb42ddf0e604199805fcaee1,N,IC
9e10035251c94d726705f283b317718a7563317b,N,IC
a643d3d7093eca4bb646c1fa559ae881f40406b3,N,IC
8f5e22326dceee0bd2f3b4ef91b5e3c43a50fd02,N,IC
27aa468ab25e5b0b8a79f8aaac4a2093375311b6,N,IC
4f3d391b438fce7d9d44ebfabb7b41f731008d31,N,IC
60a40fa5aa80ba0d1d39b32122d345cd1e2b346c,N,IC
99b2ceb56011ce27009fd7bbf1c3c8d1fbe5aafd,N,IC
7fb2ba2e27706bd6420405226d0f2d6248aba09f,N,IC
2722a7d2d11ee530554c3b3184af8547130e937b,N,IC
bc3cea00f18b30dd1737fe43004c97180023bdaf,N,IC
01c5ef9be2e750e44bc27a040ab454effd0b9cbf,N,IC
06ccc97aa6862387f1534881ce0f50f3d0478b9d,N,IC
03006ae3054e008f32e6c23e5bab662855534553,N,IC
bdea7e5f3682c98fb1cd8d6a68199acf0148a46a,N,IC
a4b6e82d05eda1dd409492460e0a30c435d9b511,N,IC
de789ee6043c6803c80472a01e6b6df2858db746,N,IC
206ad185abcaec3dc00ab87e07e23829bd0baee2,N,IC
2e5e616b02fd767b1e5b820c57c5a5b35d1f4767,N,IC
