,result,type
381d1d5a94ae03e1a5dcec4a8e71e8c41d54f1bf,N,IC
0dc29cb2d333fdb08a39adba6318e5fcec7d2821,N,IC
580dc8e72ae823ab4cf988de94fd8ae922bd2fc4,N,IC
9f5fd3afcf7196dcae1ba5813f78561f9ee0f0a1,N,IC
7187a2435e66d11298048eba63a15cc5ddf5a505,N,IC
2302b9b48b952f254ca96df71855b716bdbfddfd,N,IC
b72cca54030d380ab70af0eed60d82074e2e3522,N,IC
bddb38d787452e7d0619237070a72168a5b2e201,N,IC
f5f738f2b4978985287e42c7ca19b2284f7c1ba4,N,IC
11d975bfef06e1edbc3eb17a3a89e18600c944f0,N,IC
bcd8355e61ed784346d4d5259ba8bfb28ea30313,N,IC
939da34869d6e7ba4716dadc92cc85580ede27cb,N,IC
af0fac90999ca7bc9e67f297cec0c9c938391a57,N,IC
