,nf,la,lr,result
39eea3de3f343cf6056e9a841f39eaab307bb666,9.0,1391.0,0.0,N
ebc61de97f41e6beabb07c8418dc1ab2cf5e5ce3,2.0,3.0,9.0,Y
87b597c622e5e83beb5e45cdc4bd06266a3f9020,9.0,3005.0,17.0,N
72779b230040d8dcc0c39d9791fc6c9d8fd2d142,7.0,94.0,86.0,N
9c90639c10fea427d701632ed780e26ab539efef,3.0,855.0,0.0,N
3e2570e1176aa125730efd58e6a2e543f5bacb7c,1.0,14.0,14.0,N
16e0a6d47b6498555b9691a190960bd72ea32e56,1.0,61.0,36.0,N
f1f69b2d783bd8b016b3deb44885a5e7b0611a41,8.0,55.0,14.0,N
1a44ba4b6152cdafe636c867fd973e8cd1348078,1.0,9.0,5.0,N
c78bc17c2de58c2f3ec1ce4afd1729e6b7536a8f,5.0,189.0,101.0,Y
9dffcfd3bee91d0560bc557bea5951ac228d19a1,3.0,125.0,0.0,N
22d13e12320f2d878880eba50a5bcdc48aa63cc3,8.0,84.0,89.0,N
d1ea9a6fb7c0d1afc2de95db6c61e3321d503c8b,1.0,0.0,7.0,N
7455d9b7d64a8298fed0ddefc992af49ec7fee09,1.0,0.0,72.0,N
cc73bfb42fa86c01e37a1b7021b1ab41e0f0cb63,123.0,2189.0,4696.0,N
81961ba841a953952272891224d581d7a1d6bfaa,2.0,661.0,7.0,N
00f38adf9792290a82c60ac13439e5b9f673beea,1.0,14.0,31.0,N
dca7fe58eeea3085cdf5b46e2a07aa44d2c77375,2.0,5.0,2.0,N
c32b8042d81bcc66151e3b2c03695a9a7bfd33c2,2.0,39.0,0.0,N
ec198897ee8e726094dcb15c08d9f7da6920f8bd,2.0,6.0,6.0,N
76ace5792c06da864999374c8a1f0d734d8d5a92,1.0,20.0,21.0,N
4d3934ffeccc588799b176a1f1cd27bc6577cf93,1.0,1.0,1.0,N
806fa1cdd2945ef2234666270f6aa2886c9e636f,2.0,625.0,588.0,Y
32b0f7336b7627bc6e471a1091dfb2712b613eee,2.0,30.0,9.0,N
c0b4954297ce01b64487c09a1dcfcc0124f7053b,5.0,59.0,34.0,N
de001e7bcf9acb761047bdcf40f48244f8b63642,26.0,562.0,763.0,N
58966065ed757b8aa0c7362035caa8d9d6ae6949,1.0,0.0,5.0,N
a13692080e989590ef09869f2f2a37a67a147e3c,8.0,4.0,463.0,Y
2fa0f1fc9721deafed9f6f9962f8dd57664454a2,1.0,19.0,14.0,N
1e649ff9f324b372d0734789bd207dbbcd7e0e63,2.0,6.0,35.0,N
dbe211027644729f3ec41ca076c6a85011190e80,3.0,126.0,13.0,N
abe3e2edd508075fb2b56fc63478985e304bf910,4.0,2329.0,2339.0,N
