nf,la,lr,result
3,86,1,N
1,1,1,N
4,43,1,Y
1,2,2,N
5,70,0,Y
1,2,2,N
2,9,0,Y
5,16,6,N
2,16,0,Y
1,0,2,N
1,6,0,N
3,23,4,Y
2,10,1,Y
1,1,1,N
3,21,16,Y
5,130,25,N
1,1,1,N
1,4,1,N
1,12,0,N
2,86,18,Y
1,1,1,N
6,103,2,N
2,27,3,N
1,0,2,N
1,3,2,N
142,10570,11597,N
2,31,2,Y
