,nf,la,lr,result
bddb38d787452e7d0619237070a72168a5b2e201,2.0,38.0,3.0,N
f5f738f2b4978985287e42c7ca19b2284f7c1ba4,9.0,116.0,10.0,N
634284e1fdd9a32b7356117055bc62b64d6e0add,6.0,113.0,18.0,Y
6793765b0a748115e2868bf7b008f0ab80aaf6c9,1.0,24.0,10.0,N
a41958435af940ac9d7aefb27d461cda661f9daa,0.0,0.0,0.0,Y
de069d06d852e6fa2e8e4ca9d442168729af6588,1.0,6.0,5.0,Y
956b66bbd466bb7a68e8499a483139a516572b24,3.0,112.0,34.0,Y
8cce40469631327e0afdd5d41393248313819270,1.0,4.0,0.0,Y
8b8be39d9f66510c1810637ee4095b2a56c31250,1.0,12.0,9.0,N
580dc8e72ae823ab4cf988de94fd8ae922bd2fc4,1.0,11.0,1.0,N
450a3d7eeeccbfa16f1b1f2c743af805fe24e573,3.0,3.0,2.0,N
87e443b429e8f94bab2018147b79aa68ea7a402b,0.0,0.0,0.0,Y
ed3823b045fd19cdb801609eb034c93dd4d75c3f,14.0,1213.0,99.0,N
2e13bf8b817d57b976178a5d8682fbb6597ec351,4.0,239.0,205.0,Y
9779ca191c1be81cf336fad8d592fa6f20d90734,4.0,371.0,32.0,N
cff23b84ae6bac45972c16a84e4dbaa382576acc,2.0,7.0,2.0,Y
3c7e44ada41a26cd1ac243015af893fe2b5411ba,12.0,348.0,186.0,N
7301b58ec951b943068eabc25bc318de490d2033,3.0,55.0,34.0,N
57a503b2744cd9c8e0d182c3ef6a38a9941b840e,2.0,63.0,5.0,N
7853e74e786efda8aea70a5a0e79385a0c5d5cc9,0.0,0.0,0.0,Y
bb67cd4657ee288d9a0a80c8e81f24308a6b1c0a,9.0,658.0,448.0,Y
c9d0ebd730953ef693edf275b57cfeeb9bf15af9,23.0,605.0,570.0,Y
0485f15998313dcb77a30f718f2d30647c63ad0e,1.0,1.0,1.0,N
e5c17560db71996157f52baada68c8a294c95d10,12.0,767.0,523.0,Y
df5e4d6d56f00739a6cd280614003590b55d4f7b,3.0,95.0,17.0,N
33b53b7cca7ec2667d57d320d888c51e48b09ed6,6.0,41.0,20.0,Y
ea16ce0aa0c1474dc0c9fc0b997182299c41bcf9,1.0,2.0,2.0,Y
af0fac90999ca7bc9e67f297cec0c9c938391a57,2.0,60.0,3.0,N
a681e574c3f732d3ac945a1dda4a640ce5514742,1.0,2.0,1.0,Y
6993a8768a4313e613b7d69c4147f1dbeb29ca1b,1.0,8.0,0.0,Y
3c28301ded03b7163c8450cb3cc4787cb79a8595,9.0,357.0,62.0,N
bcd8355e61ed784346d4d5259ba8bfb28ea30313,3.0,119.0,14.0,N
cc0ae3a881dde5910ecc340fa20c2365dd7474fa,7.0,53.0,12.0,Y
5d8fac86d749c9ea98eb7eda58655fe5fa3616d0,12.0,572.0,271.0,Y
771c59f88a11659e50c6d83f20a255f9dd673e72,1.0,15.0,8.0,N
