nf,la,lr,result
2,42,2,N
2,300,177,N
1,0,98,N
12,1355,0,Y
2,6,2,N
3,12,9,N
2,54,3,Y
22,2163,805,Y
70,9311,9312,N
5,45,2,Y
6,17,8,N
5,30,49,N
1,5,0,N
4,72,9,Y
1,2,2,N
1,4,3,N
2,91,8,Y
2,5,6,Y
1,4,4,N
1,27,27,N
1,4,0,N
3,42,6,N
48,158,109,Y
22,1327,1327,Y
2,71,106,Y
1,1,1,N
1,17,4,Y
6,241,5,Y
2,329,240,N
1,4,4,N
25,1363,1358,Y
2,139,8,Y
1,98,0,N
1,31,9,Y
9,93,3,N
1,1,1,N
4,7,6,N
1,1,1,N
1,5,2,Y
1,244,0,N
8,10,10,N
18,2517,0,Y
