nf,la,lr,result
2,47,1,Y
1,1,1,N
1,1,1,N
2,396,396,Y
1,9,6,Y
10,522,446,Y
2,8,2,Y
3,109,0,Y
2,11,1,Y
2,119,4,Y
1,1,1,N
1,1,1,N
3,29,29,N
1,1,1,N
1,5,5,N
1,22,1,N
3,296,43,Y
2,14,0,Y
8,20,20,N
1,1,1,Y
1,18,17,N
