nf,la,lr,result
2,26,44,N
1,1,1,N
3,34,6,Y
3,316,0,N
1,44,37,N
4,0,4,N
8,74,36,N
2,35,35,N
1,5,0,N
1,2,0,N
1,1,1,Y
2,35,35,N
1,743,2,N
1,3,1,N
1,6,0,N
1,1,1,Y
3,70,10,Y
52,296,296,N
1,16,16,N
2,433,0,N
2,249,140,N
1,4,2,N
1,0,1,N
3,499,0,N
7,728,728,N
1,1,1,N
16,42,45,Y
1,1,4,N
2,23,8,Y
1,1,0,N
4,711,0,N
4,283,381,N
3,14,14,N
