,nf,la,lr,result
b5b2e504987fe6fe282aab71e532fdf363c5e916,1.0,39.0,6.0,N
5b50aebca9a3b270f811bce76b78651535f40b14,6.0,117.0,28.0,N
25b579bee3b70737fc3d4933f8ac2a69a408b4ab,46.0,454.0,389.0,N
1cfbcf8d56ff428dfa7919935c32a459fd865ab3,151.0,7584.0,8485.0,N
a162e21fb61a79117b1df684149d0a95603dd0d2,74.0,1936.0,2054.0,N
5e78ba22d28d023ce76551313bffc6585a7575c4,30.0,3600.0,501.0,N
99b2ceb56011ce27009fd7bbf1c3c8d1fbe5aafd,1.0,6.0,4.0,N
7fa8f59d301421fa44bc9047f299c9f53f18d0fa,11.0,145.0,159.0,N
22dd690a56844ae54d6be29ca39014136b958566,149.0,3915.0,1433.0,N
81bac3b88bcba96186f1a8cdbf28cb86f72a1953,1.0,1.0,1.0,N
4053e96089e362495e2432ac89a0fc95ab5e7b47,86.0,3264.0,583.0,N
eea5d5fe34e9e7c67f076cae81fec6ebf06626af,10.0,101.0,11.0,Y
101862db20e92df1ece4d7af313214d48ef1e78f,3.0,34.0,19.0,N
d765832a9d6668c04ffe28077db2ce5763f34d45,6.0,46.0,3.0,N
d4a57f4f1cb99f7da15583fdd0dbdea150985dc6,40.0,2800.0,152.0,N
474a7484a66c0283b6023ab1f6b93fdf0398e2a4,0.0,0.0,0.0,N
ca25733c2908dc0a15979300814b4164966bcd2d,12.0,270.0,94.0,N
af649d7d2ec032b60bdb3bca1ccacadcf7d4c8a2,31.0,320.0,143.0,N
608f93143a4e8c252d88ea2d5361935439a8b64d,34.0,13352.0,5.0,N
2a0778d7a521a21342cd113315c0fdbf09591de3,13.0,427.0,120.0,N
15c7b6818b57f60e597b0ab0389c3d6cf255c93d,0.0,0.0,0.0,N
a6727c715a9d04c699118e923526d5baa8a036ac,1.0,4.0,7.0,N
209a7cf95cc9d239ca44e67a18fc5ca0af4ad4e0,16.0,255.0,31.0,N
ef52af0939f4edc1e3f8176c6590a9f7cde30dda,79.0,5246.0,1741.0,N
3f9cbf4b0906e2f6a1d63c87e25a82cb06d12757,18.0,647.0,668.0,N
daddb86cf01b596c4698f036b31a49c5992485ee,1.0,1.0,1.0,N
9b7f219a52445e134f76e28fbd0ba07975ca45b3,8.0,362.0,0.0,N
1afe4d89805b82f60ba4b58875e5ac5fbfbaff2e,263.0,16621.0,1591.0,N
d0734526a0da20b77ba24ec3993ed95d83573f00,163.0,1869.0,4565.0,N
ef1b8a7e7aa4825d9720df29536468fc75b21533,347.0,11025.0,28009.0,N
ba4895940d27fdb84900af7066a032ef956c0312,8.0,68.0,39.0,N
8f8194cc66b500a72e7fef4d4c1bc5854301d1d0,1107.0,32984.0,34428.0,N
705f063dba39ea342487555a6a9aac566bcbf3f7,30.0,1226.0,61.0,N
74503f72d0f67269ae5057422496c8961d5891a2,7.0,1.0,20.0,N
973214111b880e55ef03af1cb8f7e3187a4e1159,15.0,34.0,134.0,Y
a643d3d7093eca4bb646c1fa559ae881f40406b3,1.0,39.0,31.0,N
5acee60217d3e910df176b815d981f7c66b2c990,27.0,1233.0,1050.0,N
03eb0092c2c49687a61bd97f3454e4c1393575e2,188.0,7502.0,5182.0,N
2aeba65e33c78c3e4957e59743d7697b9ca41c4d,63.0,6427.0,7.0,N
315e7838854ae529fdd432f0295bd14df2f77b6c,4.0,49.0,168.0,N
c1df71b2835379745165ff1b698e01a189a1d838,2.0,42.0,0.0,N
b95cfeb3577247f0b37aaf5e00c515b5e037d53a,9.0,418.0,62.0,N
779c87c50cf16ac11b5741936f443c2ce5b02909,22.0,435.0,668.0,N
968da93173b68f71068fe6a7c318f3c1b22080b4,12.0,46.0,19.0,N
24915c93a17500738e3c42c5fab96a4adb670fdf,24.0,299.0,111.0,N
9f4a1ff4d00569d3b2b9f36e80bbf32d7180bc84,28.0,2019.0,5.0,N
dc13dc9ad3e762672cc5f76b05dc7a247f690c5f,36.0,1384.0,151.0,Y
f280d512f0d53ee2f9fbb425404ab43289290ef6,2.0,13.0,19.0,N
9829817ec96f7662ab6c9362b36e49e9eca6c561,1.0,1.0,1.0,N
5a0b2ea7be719d231c1a297811d0f2d18f59bd6f,1.0,1.0,1.0,N
174459a77cfddecd09be7e4aede788c0ecebfafe,75.0,5102.0,566.0,N
a55cc876ddba7d9a89317cadbdb0fb71c0006cf1,2.0,111.0,27.0,N
19f72e2d9aa4dcb7e014ef84b37e685a2685c0de,6.0,238.0,3.0,N
a7f9d7a57f1bcd64e0c6b8693b290c10af6086c7,1.0,1.0,1.0,N
75539ea428ab7d254251317177b814c627276c2d,126.0,244.0,745.0,Y
0ed529392bb89d6d55fbe387655638ebcd09d8ab,0.0,0.0,0.0,N
1cdbdb55b3dca11d46b1ccb53612f6f04cd04650,31.0,39.0,63.0,N
36f30a498ad6201adca9bb44b271b09b2e86fa74,15.0,1013.0,402.0,N
ffbb50e923e347a79503f8a8527a21f663787775,8.0,272.0,77.0,N
fc5e1dc2b35297d36158adeb0efbc9b3515c418e,1.0,7.0,4.0,Y
5a857807e5b3549d540582160f4f47d3a3109cd8,1.0,1.0,1.0,N
e71a7a989811fdeab014a354f2bf5675e418fe44,2.0,12.0,13.0,N
8d04a0cf2dd770c990a0c2707fd00215966957c5,2.0,2.0,8.0,Y
77c5f43b546b6fcb908b8aea0e4d81f20aaf62e2,2.0,5.0,9.0,N
d7344907832bf12e5bf474ef090fa451387f876c,13.0,548.0,31.0,N
4c4f81417b6d9e56daa70a3fd65d5c2d185426ab,1.0,1.0,1.0,N
9034f0a53d4b886e324563db686d696dc2182ae1,2.0,139.0,7.0,Y
1ca2968b48f3668d1f1d47066a463334868c78b6,1.0,2.0,1.0,N
bbc1e611c54e6363e1333faf4cf89e8057593a37,9.0,59.0,32.0,N
c13978b5908b22b2b036e14983e6027d3ecce813,5.0,78.0,0.0,N
cfad451428266e0dd8849d0e8041d0e451823cd6,8.0,1025.0,691.0,N
4778e78591d07e7b5d93ffdd30a001f901a7cbba,7.0,79.0,27.0,N
e9fed888629b628677d60b00cbddbcc61699e228,22.0,734.0,133.0,N
44841b1289a63f70ed3cf910d16d378640dd73a6,73.0,230.0,195.0,N
576089b88d2afdd7153cd80f1f1f6ba2513c5bf9,9.0,65.0,17.0,N
c20b3bb4de188cb7da82c8ae1d46aff569b0423c,4.0,71.0,0.0,N
b04996500d980d6cd43ec4dddc864136c8aa893b,2.0,7.0,0.0,N
050c3508e5ef2b7e1e09fdcab94412aecc4c780b,1.0,8.0,0.0,N
13ce5af83a7fa7fe8e649d29105585631b8f4358,183.0,8827.0,7758.0,N
58225774c96147ac2551009b65e2e7a3c4d88e92,72.0,2513.0,119.0,N
081e2b962a59e915d2e6e324bfcfec6921f17352,6.0,4.0,190.0,Y
7cf309ec6c2fd2b3c3284623c4aa727aa67d6523,1.0,1.0,1.0,N
f2d65c311d67c61d953bd17c079f4169c3dbf8aa,2.0,0.0,10.0,N
c62b1daf2d4fc38b5f1f4ed27090326c17393473,8.0,31.0,19.0,N
4a0cd18cda74dec6d2bbf4195194d20c47bebc2e,18.0,351.0,216.0,N
67ffe4f035f8eca92670eba047d20244795e89f1,2.0,13.0,1.0,N
7fb2ba2e27706bd6420405226d0f2d6248aba09f,7.0,23.0,24.0,N
fce4e9f62fc119442f2f3550d760df74cc9501fd,14.0,1516.0,8.0,N
225039072dc3a20dfdc5b8f6c8b61ebae416674a,7.0,125.0,17.0,N
887727593573751dd4cca1a3e7275a63e86c2e0a,1.0,1.0,0.0,N
4c3c0202d74c1022ab85c014c47c96f7b13e05b3,52.0,637.0,986.0,N
b8d32696b8e96d7ccf6758352402c674afbf7269,28.0,315.0,103.0,N
cd7f62c9f785dabc8a77ff77a4975003ed91d807,37.0,97.0,53.0,N
7b1c8a348e695f4427f23784090897effc81784a,8.0,296.0,33.0,Y
afdea2fa2def490af119009f5ab74aa182a14934,1.0,2.0,2.0,N
1d5cea8ff281dabd5774fccf0b2f575a6216e1a0,0.0,0.0,0.0,N
dac5f2d52af5d9ccfaca9783a70368f7d188ff49,56.0,722.0,3667.0,N
16e629298a2c9d414105113c3fbcb35687bc7c26,4.0,39.0,2.0,Y
245e1a47b9c82744c22ad9a38e130b62e6a40c1d,1.0,1.0,0.0,N
7c9bc5d23bcdf4c56bf18f7e92003547c1fafd13,29.0,326.0,210.0,N
6e72bfbd797e03169ab81866d0b5c13037492be0,2.0,15.0,250.0,N
801fb64963e868ca03e61bb0c67514b0e125d7ef,1.0,9.0,2.0,N
fdb7550b98c13a842cb371d9bf561c528ec4c7cc,17.0,79.0,834.0,N
5efcc648f424bc2c5cf83afbb7d3262b6085c368,12.0,91.0,54.0,Y
38c9c410d4d9afd57c3f909edde9906134928be1,7.0,87.0,87.0,N
880075e84a6cb12315c285beea5cfed09b704f0c,1.0,1.0,1.0,N
a03abf829561f231bea14a4a35d4aa6908b93f5d,24.0,163.0,162.0,N
c8ccdc5b8927072fd5ed7d2a75fbb8dbd6507d73,2.0,3.0,2.0,N
93c9e9daa52526220f2a1d236d6b17ce647a7818,0.0,0.0,0.0,Y
26a5acce20729bb0cf8cd0de75e09665e8148699,32.0,627.0,86.0,N
985f80e5cfaaef1c54e054db1dc50d8bfe4d04a5,2.0,8.0,7.0,N
1eeb03a3fa0e795980a6ed96473df3ad0115902b,10.0,303.0,14.0,N
4f3d391b438fce7d9d44ebfabb7b41f731008d31,1.0,0.0,11.0,N
de789ee6043c6803c80472a01e6b6df2858db746,1.0,18.0,1.0,N
b9f199e1e49505d0ca1c5bca1ce67a45ae0039e2,6.0,20.0,10.0,N
1ae59c8aa253e4d045b46ed4f8b1793cc0d6b320,16.0,241.0,50.0,Y
69afcb91cd3abd8c9c6fc31634fba066c46461c6,9.0,24.0,255.0,Y
8a8e3af1f908a37eba58daeaaa63d456b281bcd6,19.0,168.0,89.0,N
23d5ef534c60e79a65eb2e31898c8f1595ce8379,11.0,1396.0,13.0,N
435c862b9514bfcf0a036bb2b916ac3dc63b4f4a,54.0,1848.0,329.0,N
caad5937ae31c056ed637e51114042b2477e52c9,1.0,53.0,1.0,N
44a44c90e75fbe013964cb7fa98f04485637f843,1.0,2.0,0.0,N
5b2754538e712945a5fc85a10fd346b7bd21d8b2,4.0,6.0,6.0,N
58b5d8055c93216a811ef23a408c8e3393fc6ba0,1.0,3.0,0.0,Y
5b16860e716e4f372ee41215e3c0c75a010f4652,1.0,2.0,2.0,N
a5c3dc72fbb5b1c8cbf55e29320d691b86486cc0,13.0,247.0,245.0,N
ca500ec728f59b6a666f0f4ed1493b847f917a51,37.0,1068.0,735.0,N
c6f48cac0710457d9374eb24cc82093899bdd7bf,23.0,680.0,171.0,N
b533c411dd61185a1895c83ff51363e586b87309,5.0,114.0,2.0,N
a823dea8c3c239e406ff7bad619f4fa19ba5d771,61.0,144.0,151.0,N
fdc7e7ba69e0d001a728dbb7f60ee8db4d249d30,28.0,259.0,130.0,N
476bc608b592e64db4a80dc23f34ac5c0033aa2c,9.0,44.0,5.0,N
26326d88a2bcac2d071f7558b487e50227ad7713,113.0,6541.0,1261.0,N
03260e5482701526605de5edaab885ce13196ef7,2.0,3.0,0.0,N
c1b838f4cc939601eb42ddf0e604199805fcaee1,1.0,2.0,2.0,N
9e10035251c94d726705f283b317718a7563317b,7.0,103.0,25.0,N
2e5e616b02fd767b1e5b820c57c5a5b35d1f4767,170.0,252.0,463.0,N
8f5e22326dceee0bd2f3b4ef91b5e3c43a50fd02,11.0,60.0,290.0,N
27aa468ab25e5b0b8a79f8aaac4a2093375311b6,3.0,17.0,24.0,N
9def2a08e8312c4a158398f228ccc506e1891b35,55.0,76.0,57.0,N
60a40fa5aa80ba0d1d39b32122d345cd1e2b346c,1.0,2.0,1.0,N
8ad9aae7854850a196d2e8e0bdb169f15c9314dc,6.0,14.0,14.0,N
4f7b2fdefe47c7cc0927a3d7dfaf9bac26ec89da,3.0,22.0,7.0,N
c8d675f75a88bfe613386438b0a45bd5acf1cc97,1.0,55.0,0.0,N
2722a7d2d11ee530554c3b3184af8547130e937b,2.0,4.0,4.0,N
179d218be35ea25ac8492b9d24b8cddf4ff69115,0.0,0.0,0.0,Y
01c5ef9be2e750e44bc27a040ab454effd0b9cbf,2.0,21.0,2.0,N
3ffed66a08e7b3b9a9c6c4fc5c3dacba1b0a1b84,88.0,3643.0,3775.0,N
03006ae3054e008f32e6c23e5bab662855534553,73.0,341.0,73.0,N
bdea7e5f3682c98fb1cd8d6a68199acf0148a46a,14.0,117.0,202.0,N
a4b6e82d05eda1dd409492460e0a30c435d9b511,1.0,65.0,45.0,N
b27adcf76ab30c76fcba37316cba60cdd898b9c7,9.0,21.0,253.0,Y
206ad185abcaec3dc00ab87e07e23829bd0baee2,0.0,0.0,0.0,N
393876336d9e5301cb5e796ea40f389140000a39,7.0,3409.0,9.0,N
473611d95d4339c0a4ffdd2872f7d6609c2d63a2,0.0,0.0,0.0,N
7ab28d36a37d008ba814c2fe518552053492a1d4,1.0,4.0,3.0,N
637ea46d2bbdca25a3a62a2ce7b503eb147efad5,11.0,85.0,65.0,N
f1cfcc5bcdc588cb9a6977fbd8b09034bd7b8244,26.0,671.0,302.0,N
ac3525d4860c66df7fd882532a647b4707140337,17.0,450.0,76.0,N
86917e9dff5396432fc42eb5a39f16baad7f3e3b,18.0,136.0,165.0,N
6fbb1ab549dfc83aef6e6e797dcf0370939d6bc8,1.0,1.0,1.0,N
1f428b9544eb3b2936eae9645bf10feafa024fa5,1.0,1.0,1.0,N
c02851bdd6f06c244b35f3c31762fde251b64ceb,399.0,1207.0,1218.0,N
a0c7edb142b75d92276fb9fa9c0033ea1d583934,2.0,18.0,11.0,N
9f809cd333f6a813f6dfc13b6bc7ab88671b58cb,581.0,2525.0,475.0,N
39fd81bca2e4b8b75b8292112fde6a0e0cbb346b,3.0,93.0,60.0,N
db7923c1685ddf0a6ec301f88c9d7ccffe014982,4.0,10.0,10.0,N
db70b226c3315c8752100342a6b2a12a78e883db,33.0,676.0,674.0,N
2facce390963b4e2d17a2e9405c62715ab97bde1,7.0,57.0,181.0,N
d664438ab4431ccfee2c117d3fea79d3c21949db,3.0,6.0,3.0,N
3348ac39d016425b75c0205a15867ea9991e86f3,22.0,503.0,306.0,Y
43a5a7db29b0efed39b06165acf23e4ca83bc32c,28.0,1172.0,157.0,N
5dd5b7fb1eec9c7e5d9feec023ccd1d326c756d9,5.0,8.0,8.0,Y
8d3d14beb1fd1eaf825272b094633ad35c807df1,0.0,0.0,0.0,Y
25748c95d7a6acc7fe03a7c39e4bd42734cc2953,1.0,1.0,1.0,N
bb80e35a3c6d69ccbf0a93b1a4e298bf022c4270,131.0,9467.0,370.0,N
3d7e76ca8fe0427b9fb374f27291cbd3d22cdbe2,3.0,20.0,1.0,Y
c30e73b933ca688bed4207069a7e2e4464586c11,2.0,4.0,1.0,N
8828c31f64422a5962f727a1e99d0f10be7f38f8,5.0,66.0,3.0,N
2c4d506316631ebb54c588622dfd89905c42463c,204.0,17.0,520.0,N
6ea2f89d686ff66eb6f5e7e5cf10ddb291db6dce,0.0,0.0,0.0,N
8f8e3018841270efdacd002f2ee41270468d2e6d,32.0,96.0,62.0,N
4e0e8bca5dfd4fa1f058441c27215219d7179145,1.0,4.0,2.0,N
9a3b000767c018a681a4858a84aae20a0b8c7310,1.0,0.0,1.0,Y
bbfef17f091df667100ae3121d465d68b88a8556,138.0,1484.0,418.0,N
ff2709bb88ff56542213ff47ad7ded6ae5073b7f,5.0,112.0,2.0,N
de96d06c6c9a54d0eece59b146974e58e6b4f60f,1.0,1.0,1.0,N
12706e3462ecc82599d939052bace36eebbcd2ce,10.0,519.0,7.0,N
7900b3767ab5a3f159a8105a63ac39f5ec3344ad,28.0,586.0,206.0,Y
0b01c64744e3536ee2131a4f3ba541c3dd474ebb,2.0,1.0,21.0,N
e67800f42c1316b773bd7ca4a85edb29b9b5c861,2.0,105.0,24.0,N
c43b4c543c42173bd9f25f82606857ca40516702,76.0,3733.0,3132.0,N
aa14566ad201730f51f5c353f2db84a2723abb83,3.0,46.0,2.0,N
a88a711bd41f3b11d938f82cdcf44d5fb4462fbb,31.0,545.0,75.0,N
fa93ceff49c3e84851cb8b00157e4fbed1d2cdb7,64.0,299.0,854.0,N
b20b1dff053802dbfb3f6d0bfa54d26bc6ae52db,17.0,111.0,118.0,N
8424c44f18c82d4e8cc34cdbafbaa7a0469d965e,2.0,45.0,27.0,N
88756ddb1061660cb5ca68f5562d7343570dd955,1.0,1.0,0.0,Y
162a90c311abfe554f09dc4b9c080098bd27ad89,1.0,2.0,2.0,N
3c8d9404cf4719d7b8db50a1012cf7e0144903f7,60.0,718.0,108494.0,N
0bf8874818d5f2293b3e4e2b2e3634f8d8b324bf,451.0,70418.0,187.0,N
7f6282d10eb5f01ac533c293eead08da397c8633,0.0,0.0,0.0,N
a22b8d7ccf872b503da8d43f1c29390356d6d5d3,12.0,654.0,25.0,Y
203c9a252df458e5a7ad0b3ab03ae4c29263336f,6.0,173.0,74.0,Y
3c56aa6f595f16e0e5592d6f70c7de45b6a25c83,40.0,711.0,385.0,N
